Nome Format,Tipologia,Logistica,Metodo di calcolo,Pricing,Target Ideale,Vibe / Emozione,Sales Hook,Social,Novità ,Ranking,Max Pax,Durata Min,Durata Max,Durata Ideale,Descrizione Breve,Formazione,Note,Link website page,link pdf ita,link ppt ita,Link pdf eng,Link ppt eng
Quizzonline,Quiz / Remoto,Remoto,Flat,-,"Smart Workers, Team distribuiti","Connessione, Velocità , Divertimento",La sfida arriva a casa vostra: quiz digitale per unire i team distanti.,no,no,3,Illimitato,"0,5","1,5",1,Quiz interattivo online giocabile da smartphone o pc in videoconferenza.,low,,https://www.teambuilding.it/project/quizzonline/,https://teambuilding.it/preventivi/schede/ita/QuizzOnline - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/QuizzOnline - TeamBuilding-it.pptx,,
Rugby,Sport / Formazione,Outdoor,Standard,85,"Team ""fisici"", Sportivi","Haka, Contatto, Lealtà ",Avanzare sostenendo: i valori del rugby applicati alla meta aziendale.,no,no,5,Illimitato,2,4,3,"Training sui valori del rugby (Haka, passaggio, sostegno) senza contatto fisico pericoloso.",medium,,https://www.teambuilding.it/project/rugby/,https://teambuilding.it/preventivi/schede/ita/Rugby - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Rugby - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Rugby - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Rugby - TeamBuilding-it-eng.pptx
Sailing,Sport / Vela,Outdoor (Mare/Lago),Standard,250,"Board, Piccoli gruppi","Vento, Ruoli, Libertà ",Tutti sulla stessa barca: regolate le vele e tenete il timone verso l'obiettivo.,no,no,4,100,3,8,4,Regata velica o veleggiata con skipper professionisti su barche a vela.,medium,"Prezzo indicativo, dipende da diversi fattori quali la stagione e la località, necessario approfondimento in una fase successiva della trattativa.",https://www.teambuilding.it/project/sailing/,https://teambuilding.it/preventivi/schede/ita/Sailing - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Sailing - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Sailing - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Sailing - TeamBuilding-it-eng.pptx
Sailing Garda,Sport / Vela,Outdoor (Lago),Standard,150,"Board, Piccoli gruppi","Lago, Vento, Esclusività ",La bellezza del lago di Garda vista dalla prua di una barca a vela.,no,no,4,50,3,8,4,Esperienza di vela specifica sul Lago di Garda.,medium,,https://www.teambuilding.it/project/sailing-garda/,https://teambuilding.it/preventivi/schede/ita/Sailing Garda - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Sailing Garda - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Sailing Garda - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Sailing Garda - TeamBuilding-it-eng.pptx
Santa's Helper,Sociale / Natale,Indoor,Standard,95,"Cene di Natale, CSR","Natale, Cuore, Dono",Diventate gli elfi di Babbo Natale: confezionate regali per chi ne ha più bisogno.,si,no,4,Illimitato,1,2,"1,5",Attività  di confezionamento regali o cesti natalizi da donare in beneficenza.,low,,https://www.teambuilding.it/project/santas-helpers/,https://teambuilding.it/preventivi/schede/ita/Santa s helper - TeamBuilding-it .pdf,https://teambuilding.it/preventivi/schede/ita/Santa s helper - TeamBuilding-it .pptx,https://teambuilding.it/preventivi/schede/eng/Santa's Helper - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Santa s helper - TeamBuilding-it - eng.pptx
Sarabanda,Musica / Quiz,Durante i pasti,flat,-,"Cene Aziendali, Melomani","Musica, Memoria, Ballo",La indovino con una? Riconoscete le hit musicali e scatenatevi!,no,no,3,Illimitato,1,2,"1,5",Quiz musicale dove bisogna indovinare titolo e autore delle canzoni ascoltate.,low,,https://www.teambuilding.it/project/sarabanda/,https://teambuilding.it/preventivi/schede/ita/Sarabanda - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Sarabanda - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Sarabanda - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Sarabanda - TeamBuilding-it-eng.pptx
Scolpisci,Creativo / Scultura,Indoor,Standard,85,"Artistici, Manualità ","Arte, Forma, Materia",Liberate la forma dalla materia: scolpite il vostro successo nel blocco grezzo.,no,no,3,50,2,4,3,Laboratorio di scultura su gasbeton (materiale friabile) per creare opere d'arte.,low,,https://www.teambuilding.it/project/scolpisci/,https://teambuilding.it/preventivi/schede/ita/Scolpisci - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Scolpisci - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Scolpisci - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Scolpisci - TeamBuilding-it-eng.pptx
Shackleton,Formativo / Ghiaccio,Indoor,Standard,110,"Manager, Team in crisi","Leadership, Crisi, Sopravvivenza",Imparare a guidare nel ghiaccio: la lezione di leadership più estrema della storia.,no,no,5,50,2,4,3,Team building formativo basato sulla storia della spedizione antartica di Shackleton.,high,,https://www.teambuilding.it/project/shackleton/,https://teambuilding.it/preventivi/schede/ita/Shackleton - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Shackleton - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Shackleton - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Shackleton - TeamBuilding-it-eng.pptx
Slitte Pazze,Costruzione / Neve,Outdoor (Neve),Standard,90,"Giovani, Neve","Neve, Risate, Velocità ","Non serve la neve per scivolare, basta la follia! (Ma se c'è neve è meglio).",no,no,4,Illimitato,2,3,"2,5",Costruzione di slitte stravaganti con cartone e materiali di recupero e gara di discesa.,high,,https://www.teambuilding.it/project/slitte-pazze/,https://teambuilding.it/preventivi/schede/ita/Slitte Pazze - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Slitte Pazze - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Slitte Pazze - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Crazy Sleds - TeamBuilding-it-eng.pptx
Smart Team Challenge,Tech / Robot,Indoor / Outdoor,Standard,90,"Giovani, Tech","Tecnologia, Sfida, Velocità ",Sfida a squadre nella costruzione e programmazione di piccoli robot,no,no,4,Illimitato,"1,5",3,"2,5","I team devono costruire dei piccoli robot, aggiungere delle funzioni e programmarle.",high,,https://www.teambuilding.it/project/smart-team-challenge/,https://teambuilding.it/preventivi/schede/ita/Smart Team Challenge- TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Smart Team Challenge- TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Smart Team Challenge - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Smart Team Challenge- TeamBuilding-it - eng.pptx
Social Team Building,Sociale / CSR,Indoor / Outdoor,Standard,120,"CSR, Aziende Etiche","Cuore, Utilità , Emozione","Fate del bene, fatelo insieme. Un team building che lascia il segno nel cuore.",si,no,5,Illimitato,2,6,4,"Attività  generica di volontariato o supporto a onlus (pittura muri, giardinaggio, ecc).",high,"Prezzo indicativo, può salire o scendere in base al reale intervento che andremo a progettare con il cliente e con il destinatario. Necessario approfondimento in una fase successiva della trattativa.",https://www.teambuilding.it/project/social-team-building/,https://teambuilding.it/preventivi/schede/ita/Social Team Building San Patrignano - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Social Team Building San Patrignano - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Social Team Building - TeamBuilding-it-eng.pdf,
Softair LaserTag,Avventura / Guerra,Outdoor,Standard,90,"Giovani, Competitivi","Strategia, Azione, Adrenalina",Missione operativa: stategia militare e azione senza esclusione di colpi (innocui).,no,no,3,Illimitato,2,4,3,Simulazione di combattimento con repliche di armi (softair) o puntatori laser (lasertag).,medium,,https://www.teambuilding.it/project/lasertag/,https://teambuilding.it/preventivi/schede/ita/Softair-LaserTag - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Softair-LaserTag - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Softair LaserTag - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Softair LaserTag - TeamBuilding-it-eng.pptx
Squid Game,Giochi / Serie TV,Indoor / Outdoor,Standard,85,"Fan serie TV, Giovani","Tensione, Gioco, Trend","Un, due, tre... Stella! Sopravvivete ai giochi dell'infanzia in versione corporate.",no,si,4,Illimitato,2,3,"2,5",Serie di giochi a eliminazione ispirati alla famosa serie TV (senza violenza).,low,,https://www.teambuilding.it/project/squid-game/,https://teambuilding.it/preventivi/schede/ita/Squid Game - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Squid Game - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Squid Game - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Squid Game - TeamBuilding-it - eng.pptx
Street Fundraising,Sociale / Vendita,Outdoor,Standard,95,"Commerciali, Sales","Vendita, Faccia tosta, Sociale",Venditori nati? Provatelo in strada raccogliendo fondi per una buona causa.,si,no,3,50,2,4,3,Gara a chi raccoglie più fondi per una onlus fermando i passanti per strada.,low,,https://www.teambuilding.it/project/street-fundraising/,https://teambuilding.it/preventivi/schede/ita/Street Fundraising - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Street FundRaising - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Street Fundraising - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Street FundRaising - TeamBuilding-it-eng.pptx
Stuntman,Cinema / Azione,Outdoor,Standard,150,"Audaci, Cinema","Azione, Cinema, Coraggio","Luci, Motori, Azione! Diventate gli eroi di un film d'azione per un giorno.",no,no,3,Illimitato,2,4,3,"Laboratorio per imparare tecniche di stunt cinematografico (cadute, combattimenti finti).",low,"Prezzo indicativo, varia in base a diverse variabili, tra cui l'autodromo dove si svolge l'attività, la stagione, il numero di auto a disposizione. Necessario approfondimento in una fase successiva della trattativa.",https://www.teambuilding.it/project/stunt-man/,https://teambuilding.it/preventivi/schede/ita/StuntMan - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/StuntMan - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Stuntman - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Stuntman - TeamBuilding-it-eng.pptx
Survival,Avventura / Natura,Outdoor,Standard,90,"Avventurosi, Team Building puro","Natura, Fuoco, Sopravvivenza",Dispersi nella natura: avete quello che serve per accendere il fuoco e sopravvivere?,no,no,4,Illimitato,3,8,4,"Corso di sopravvivenza: accensione fuoco, costruzione riparo, orientamento.",high,,https://www.teambuilding.it/project/survival/,https://teambuilding.it/preventivi/schede/ita/Survival - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Survival - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Survival - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Survival - TeamBuilding-it-eng.pptx
Sushi San,Culinario,Indoor,Standard,110,"Amanti Sushi, Precisione","Giappone, Precisione, Gusto",L'arte del sushi: precisione zen e gusto orientale nelle vostre mani.,no,no,4,50,2,3,"2,5",Corso pratico per imparare a preparare sushi e maki giapponesi.,low,,https://www.teambuilding.it/project/sushi-san/,https://teambuilding.it/preventivi/schede/ita/Sushi San - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Sushi San - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Sushi San - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Sushi San - TeamBuilding-it-eng.pptx
SWAT,Avventura / Tattica,Outdoor,Standard,95,"Uomini, Tattici","Tattica, Irruzione, Adrenalina",Squadra Speciale in azione: pianificate l'irruzione e salvate l'ostaggio.,no,no,3,40,3,5,4,Addestramento tattico speciale con simulazioni di irruzioni e liberazione ostaggi.,high,,https://www.teambuilding.it/project/swat/,https://teambuilding.it/preventivi/schede/ita/Swat - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Swat - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/SWAT - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Swat - TeamBuilding-it-eng.pptx
Tableau Vivant,Creativo / Arte,Indoor,Standard,85,"Creativi, Artistici","Arte, Posa, Storia",Entrate nel quadro: ricreate i capolavori dell'arte con i vostri corpi e oggetti.,no,no,3,Illimitato,"1,5","2,5",2,I team devono ricreare dal vivo famosi quadri utilizzando costumi e oggetti di scena.,low,,https://www.teambuilding.it/project/tableau-vivant/,https://teambuilding.it/preventivi/schede/ita/Tableau Vivant - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Tableau Vivant - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Tableau Vivant - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Tableau Vivant - TeamBuilding-it-eng.pptx
Talent Factory,Show / Talent,Indoor,Standard,75,"Estroversi, Grandi Gruppi","Talento, Show, Applausi",X-Factor aziendale: scoprite chi nasconde una voce d'oro o un talento magico.,si,no,4,Illimitato,2,4,3,Talent show aziendale dove i dipendenti si esibiscono nei loro talenti nascosti.,low,,https://www.teambuilding.it/project/talent-factory/,https://teambuilding.it/preventivi/schede/ita/Talent Factory - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Talent Factory - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Talent Factory - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Talent Factory - TeamBuilding-it-eng.pptx
Team Beat,Musica / Percussioni,Indoor,Standard,80,"Grandi Convention, Ice-breaker","Energia, Ritmo, Unisono","Un solo ritmo, un solo cuore: trasformate il meeting in un'orchestra di percussioni.",no,no,5,Illimitato,"0,5","1,5",1,Attività  di percussioni corporee o con tubi sonori (boomwhackers) per creare ritmo.,medium,,https://www.teambuilding.it/project/team-beat/,https://teambuilding.it/preventivi/schede/ita/Team Beat - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Team Beat - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Team Beat - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Team Beat - TeamBuilding-it-eng.pptx
The Box,Costruzione / Enigmi,Indoor,flat,-,"Problem Solvers, Creativi","Mistero, Incastro, Sorpresa",Non pensate fuori dalla scatola... entrateci! E scoprite cosa nasconde.,no,no,3,Illimitato,"1,5","2,5",2,I team entrano in grandi scatole e devono risolvere enigmi per interagire con l'esterno.,low,,https://www.teambuilding.it/project/the-box/,https://teambuilding.it/preventivi/schede/ita/The Box - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/The Box - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/The Box - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/The Box - TeamBuilding-it-eng.pptx
The Comic Side of Work,Teatrale / Comico,Indoor,Standard,80,"Team stressati, Autoironia","Risate, Ironia, Leggerezza",Ridere del lavoro fa lavorare meglio: trasformate i problemi in sketch comici.,no,no,4,Illimitato,2,4,3,Laboratorio di cabaret e comicità  focalizzato sulle dinamiche lavorative.,high,,https://www.teambuilding.it/project/the-comic-side-of-work/,https://teambuilding.it/preventivi/schede/ita/The Comic Side of Work - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/The Comic Side of Work - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/The Comic Side of Work - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/The Comic Side of Work- eng - TeamBuilding -it.pptx
Tinkering,Costruzione / Creativo,Indoor,Standard,75,"Ingegneri, Curiosi","Invenzione, Meccanica, Gioco",Pensare con le mani: inventate macchine inutili ma geniali.,no,si,3,Illimitato,"1,5",3,2,"Attività  di ""bricolage creativo"" per costruire macchine o reazioni a catena.",high,,https://www.teambuilding.it/project/tinkering/,https://teambuilding.it/preventivi/schede/ita/Tinkering - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Tinkering - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Tinkering - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Tinkering - TeamBuilding-it-eng.pptx
Tombola Beat,Musica / Gioco,Cena / Aperitivo,Flat,-,"Cene di Natale, Feste","Ritmo, Fortuna, Festa","Non la solita tombola: numeri, ritmo e premi a tempo di musica.",no,si,3,Illimitato,1,2,"1,5",Gioco della tombola animato con intermezzi musicali e ritmici.,low,,https://www.teambuilding.it/project/tombola-beat/,https://teambuilding.it/preventivi/schede/ita/Tombola Beat - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Tombola Beat - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Tombola Beat - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Tombola beat - TeamBuilding-it - eng.pptx
Treasure Hunt,Caccia al tesoro,Outdoor (Città ),Standard,75,"Turisti, Gruppi Internazionali","Scoperta, Città , Gioco",La città  è il vostro tabellone di gioco: scopritene i tesori nascosti.,no,no,4,Illimitato,2,4,3,"Classica caccia al tesoro in città  con mappa, indizi e tappe da raggiungere.",low,,https://www.teambuilding.it/project/treasure-hunt/,https://teambuilding.it/preventivi/schede/ita/Treasure Hunt - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Treasure Hunt - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Treasure Hunt - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Treasure Hunt - TeamBuilding-it-eng.pptx
Unlock and Drink,Enigmi / Aperitivo,Aperitivo,Standard,90,"Aperitivi, Ice-breaking","Sete, Enigma, Brindisi","Il drink è là, dentro la gabbia. Se volete bere, dovete sbloccarlo!",no,si,3,Illimitato,"0,5",1,"0,5",Piccoli enigmi da risolvere per sbloccare la cassaforte che contiene il drink.,medium,,https://www.teambuilding.it/project/unlock-and-drink/,https://teambuilding.it/preventivi/schede/ita/Unlock and drink- TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Unlock and drink- TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Unlock and Drink - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Unlock and drink- TeamBuilding-eng .pptx
Vertical Garden,Green / Costruzione,Indoor,Standard,95,"Green, Ufficio","Verde, Design, Costruzione",Portate il verde in alto: costruite giardini verticali per i vostri spazi o per donarli.,si,no,4,Illimitato,2,3,"2,5",Costruzione di orti verticali in legno per uffici o balconi.,medium,,https://www.teambuilding.it/project/vertical-garden/,https://teambuilding.it/preventivi/schede/ita/Vertical Garden - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Vertical Garden - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Vertical Garden - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Vertical Garden - TeamBuilding-it-eng.pptx
Vintage Tours,Guida / Tour,Outdoor,Standard,250,"Turisti, Amanti vintage","Dolce Vita, Motori, Panorama",Un tuffo nella Dolce Vita: alla guida di auto e moto d'epoca nei luoghi più belli d'Italia.,no,no,2,50,2,4,3,Tour guidati con auto d'epoca (Fiat 500) o Vespe in località  turistiche.,low,,https://www.teambuilding.it/project/vintage-tour/,https://teambuilding.it/preventivi/schede/ita/Vintage Tours - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Vintage Tours - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Vintage Tours - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Vintage Tours - TeamBuilding-it-eng.pptx
Virtual Escape Box,Escape / Remoto,Remoto,Standard,60,Smart Workers,"Online, Logica, Connessione",Escape room digitale: risolvete il mistero collaborando a distanza con il vostro avatar.,no,no,2,Illimitato,1,"1,5","1,5",Risoluzione di enigmi online in videochiamata con un avatar reale.,low,,https://www.teambuilding.it/project/virtual-escape-box/,https://teambuilding.it/preventivi/schede/ita/Virtual Escape Box - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Virtual Escape Box - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Virtual Escape Box - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Virtual Escape Box - TeamBuilding-it - eng.pptx
Yacht Day,Lusso / Mare,Outdoor,Standard,250,"VIP, Top Management","Mare, Lusso, Sole",Relax e lusso in mare aperto: un'esperienza esclusiva per chi punta all'eccellenza.,no,no,1,10,6,8,6,Giornata in barca a motore di lusso con skipper e attività  a bordo.,medium,"Prezzo indicativo, dipende molto dalla stagione, dalla località e il numero dei partecipanti. Indispensabile approfondimento in trattativa.",https://www.teambuilding.it/project/yacht-day/,https://teambuilding.it/preventivi/schede/ita/Yacht Day - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Yacht Day - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Yacht Day - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Yacht Day - TeamBuilding-it-eng.pptx